doc_id,text
0,"Los Angeles closes 500 medical marijuana shops, but hundreds remain"
1,U.S. cuts poultry export forecast as deadly bird flu spreads
2,Fears over Roundup herbicide residues prompt private testing
3,Liberia watchdog says some Ebola funds unaccounted for
4,Diabetes devices may interfere with avalanche beacon signals
5,Three in Texas infected with Listeria from tainted ice cream: CDC
6,Mediterranean rescuers in quest for seaborne migrants' chef
7,Fidelity CEO taps personal fortune for bets on cancer-related IPOs
8,Mexico reports bird flu outbreaks in Puebla and Oaxaca states
9,Can special flooring reduce fall injuries for elderly?
10,"When surgeons say ‘we can fix it,’ patients may misunderstand risks"
11,Detecting diabetes in children before symptoms appear
12,Niger isolates suspected bird flu farm as region takes precautions
13,"Sabra Dipping Co recalls 30,000 cases of hummus over Listeria fears"
14,California bill banning child vaccine exemptions moves ahead
15,U.S. bird flu outbreak accelerates as wild ducks migrate north
16,U.S. appeals court deals setback to Florida tobacco plaintiffs
17,Oklahoma set to join Kansas in banning flashpoint abortion procedure
18,Memory may suffer in mothers caring for disabled children
19,Celladon to report results of its gene therapy for heart failure: CEO
20,"Midlife arts, crafts and socializing tied to better late-life cognition"
21,Canada bird flu virus in Ontario highly pathogenic strain
22,Common painkiller may not ease lower back pain or osteoarthritis
23,"30 new Ebola cases, lowest weekly figure in nearly a year: WHO"
24,Fatal crashes involving teen drivers decline sharply in U.S
25,Injury prevention programs unpopular with high school coaches
26,UK biotech Silence Therapeutics raises $58 million for its RNA drive
27,Chinese citizens sue government over transparency on Monsanto herbicide
28,Kansas becomes first state to ban a second trimester abortion procedure
29,Kids may be more likely to use customized playgrounds
30,Minnesota bird flu cases rise as U.S. investigators arrive
31,Higher purpose in life tied to better brain health
32,"Taiwan, Japan ban Ontario poultry over Canada bird flu"
33,FDA accepts Novo Nordisk's resubmitted application for insulin drug
34,"With diabetes, fewer meals may mean less hunger, depression"
35,"Erectile dysfunction drugs vary in effectiveness, side effects"
36,Sierra Leone says Kailahun Ebola case report was mistaken
37,Unrelated 'next of kin' may lead to legal confusion
38,Hospira gets FDA warning letter for Italian facility
39,U.S. FDA staff: Swedish Match snus proposal raises questions
40,U.S. Ebola patient's condition improves to good: NIH
41,Acacia rigidula supplements still containing stimulant found on market
42,Robotic glove could help stroke survivors
43,Sterilization threat darkens Europe's transgender quest for identity
44,"Bird flu confirmed on turkey farm in Woodstock, Ontario"
45,"For some elderly, unclogging leg arteries doesn't improve mobility"
46,"Jenny Craig, Weight Watchers better commercial diet choices"
47,Physical therapy may be as good as surgery for common back problem
48,U.S. regulator says 2016 payments for Medicare Advantage to rise
49,States ask U.S. Congress to launch inquiry of herbal supplements
50,Breast milk sold online may contain cow's milk
51,"Remove financial barriers to organ donation, experts say"
52,Minnesota finds two more turkey flocks infected with lethal bird flu
53,Less than recommended physical activity may still lengthen life
54,Bristol-Myers buys into Dutch gene therapy company uniQure
55,Two Syrians die from H1N1 swine flu
56,DreaMed Diabetes technology to be used in Medtronic insulin pump
57,Second Carmat artificial heart patient 'never felt so good': newspaper
58,Listeria fear spreads as Blue Bell closes Oklahoma ice cream plant
59,Morphosys CEO says MOR202 drug candidate still promising: newspaper
60,Eastern Sierra Leone records first Ebola case in months
61,France bans super-skinny models in anorexia clampdown
62,Is fish oil safe during chemotherapy?
63,Obese people may be more sensitive to food smells
64,‘Grandparenting’ in moderation might help keep the mind sharp
65,Childhood ADHD linked to secondhand smoking
